order_id,customer_id,restaurant_id,order_datetime,order_value,discount_amount,delivery_fee,commission_pct,operational_cost
108,786,146,2024-02-05 05:24:00,84.97,0.0,20,0.18,20.81
109,201,163,2024-02-24 17:22:00,418.64,0.0,50,0.18,17.72
110,369,396,2024-01-05 08:00:00,118.85,11.88,30,0.18,16.99
111,797,179,2024-03-01 08:06:00,688.25,34.41,20,0.2,30.22
112,77,89,2024-03-15 22:09:00,515.28,0.0,30,0.18,23.79
113,59,493,2024-02-03 17:04:00,47.04,0.0,50,0.2,13.54
114,431,223,2024-01-12 13:20:00,219.37,10.97,40,0.2,14.62
115,638,266,2024-01-23 20:15:00,451.03,22.55,20,0.15,17.1
116,1524,239,2024-03-15 21:58:00,42.86,0.0,30,0.15,19.34
117,1937,308,2024-03-07 05:47:00,176.36,8.82,50,0.15,17.51
118,109,34,2024-01-09 06:40:00,504.76,25.24,50,0.2,17.24
119,1760,371,2024-02-25 12:08:00,79.59,3.98,30,0.2,17.77
120,1008,451,2024-02-25 20:53:00,121.57,0.0,30,0.15,8.86
121,1302,494,2024-01-22 06:43:00,221.2,22.12,30,0.18,17.22
122,68,167,2024-01-21 07:07:00,196.28,0.0,50,0.2,9.85
123,1093,392,2024-01-17 03:31:00,367.43,18.37,40,0.18,19.49
124,1189,125,2024-01-17 19:58:00,869.82,43.49,20,0.18,30.51
125,1513,224,2024-02-11 16:44:00,406.05,20.3,30,0.18,20.66
126,305,491,2024-01-20 06:03:00,319.21,0.0,50,0.2,17.97
127,1933,413,2024-01-25 06:53:00,525.34,0.0,20,0.15,19.17
128,674,150,2024-03-06 11:32:00,249.15,12.46,50,0.2,11.36
129,365,468,2024-01-06 21:53:00,586.53,0.0,50,0.2,26.13
130,1878,454,2024-01-31 01:56:00,293.52,0.0,30,0.15,13.19
131,821,189,2024-01-21 23:45:00,649.55,0.0,30,0.15,23.7
132,1403,43,2024-01-04 00:59:00,138.2,0.0,30,0.2,18.8
133,343,433,2024-03-14 20:51:00,160.64,0.0,30,0.2,17.31
134,947,29,2024-01-08 20:25:00,502.02,0.0,30,0.18,28.13
135,899,362,2024-01-23 00:42:00,216.03,21.6,20,0.2,19.53
136,1578,120,2024-03-27 15:57:00,370.83,0.0,40,0.18,26.51
137,1378,337,2024-02-23 22:44:00,390.04,0.0,20,0.15,16.03
138,1440,31,2024-02-08 11:49:00,142.57,7.13,20,0.2,8.47
139,1133,181,2024-02-24 11:17:00,260.99,0.0,50,0.15,11.41
140,1587,162,2024-02-23 01:44:00,132.44,19.87,20,0.18,10.7
141,762,128,2024-03-07 09:55:00,237.18,11.86,30,0.18,10.54
142,1521,255,2024-01-30 11:56:00,358.57,0.0,20,0.18,16.14
143,341,294,2024-01-31 17:33:00,542.58,27.13,40,0.15,28.65
144,942,441,2024-01-15 09:08:00,975.04,0.0,30,0.15,28.44
145,383,357,2024-03-19 01:41:00,626.16,31.31,50,0.18,29.76
146,1004,388,2024-02-15 02:43:00,400.95,0.0,20,0.15,17.81
147,1557,254,2024-01-20 04:21:00,925.07,0.0,50,0.18,30.07
148,300,130,2024-01-21 20:01:00,189.17,0.0,40,0.18,21.57
149,139,12,2024-03-09 03:07:00,629.06,0.0,50,0.2,24.97
150,359,35,2024-01-10 21:00:00,86.89,0.0,40,0.15,8.58
151,836,198,2024-03-03 15:50:00,310.76,0.0,20,0.18,16.61
152,1523,248,2024-02-15 05:22:00,303.37,45.51,20,0.15,23.27
153,1409,110,2024-02-26 18:37:00,198.24,0.0,30,0.15,10.03
154,1628,328,2024-03-14 04:25:00,262.04,0.0,20,0.18,21.32
155,1983,405,2024-02-17 03:47:00,371.04,0.0,30,0.18,23.48
156,1304,245,2024-01-27 05:44:00,144.73,14.47,30,0.18,14.56
157,1661,250,2024-01-28 03:10:00,413.63,0.0,20,0.18,13.58
158,483,366,2024-01-28 04:30:00,97.49,9.75,40,0.15,10.61
159,909,317,2024-03-25 04:27:00,211.4,21.14,40,0.2,13.34
160,1135,163,2024-03-18 00:31:00,133.61,0.0,40,0.2,19.11
161,866,48,2024-02-12 13:02:00,207.38,20.74,20,0.15,17.21
162,139,399,2024-03-17 05:16:00,119.8,0.0,30,0.18,12.43
163,996,71,2024-03-02 08:52:00,458.09,0.0,40,0.2,23.4
164,435,399,2024-02-08 13:44:00,1257.79,0.0,50,0.2,31.73
165,509,493,2024-01-19 20:41:00,293.03,0.0,50,0.18,25.79
166,273,134,2024-01-15 17:00:00,376.99,18.85,20,0.2,13.69
167,1123,239,2024-02-26 12:41:00,317.56,0.0,40,0.15,23.7
168,1788,465,2024-01-14 01:45:00,119.1,0.0,40,0.15,14.01
169,1874,68,2024-03-05 10:51:00,614.24,30.71,40,0.15,30.6
170,104,278,2024-01-01 16:57:00,1000.18,0.0,20,0.18,27.99
171,1238,32,2024-01-15 12:05:00,391.86,58.78,30,0.15,21.1
172,1785,123,2024-03-11 09:11:00,402.69,20.13,40,0.18,21.97
173,1688,22,2024-02-02 03:00:00,648.74,0.0,50,0.15,24.95
174,762,155,2024-01-08 03:00:00,862.58,0.0,20,0.2,26.46
175,787,110,2024-02-08 03:46:00,197.02,0.0,40,0.15,21.09
176,165,271,2024-02-02 09:42:00,600.46,90.07,30,0.15,20.11
177,999,380,2024-02-23 17:53:00,963.34,0.0,30,0.15,28.19
178,1877,300,2024-01-26 16:58:00,136.48,0.0,20,0.15,13.92
179,520,115,2024-02-08 06:19:00,241.11,0.0,20,0.15,22.28
180,1308,470,2024-02-13 06:26:00,723.86,72.39,40,0.18,19.6
181,517,220,2024-01-21 07:10:00,199.57,19.96,40,0.18,22.4
182,657,490,2024-01-18 04:49:00,323.39,0.0,20,0.2,19.63
183,613,230,2024-03-14 09:35:00,260.95,0.0,40,0.18,11.64
184,164,252,2024-01-25 10:54:00,220.8,22.08,20,0.15,12.76
185,1910,249,2024-01-23 13:32:00,183.93,0.0,50,0.18,9.75
186,1683,9,2024-02-14 06:47:00,670.47,0.0,20,0.15,25.15
187,64,34,2024-03-02 20:03:00,1173.66,0.0,30,0.15,28.76
188,1115,228,2024-02-13 09:13:00,376.1,0.0,20,0.15,22.66
189,1141,73,2024-03-21 14:47:00,784.28,78.43,30,0.2,22.46
190,1890,399,2024-03-16 16:55:00,98.72,0.0,40,0.18,10.04
191,267,446,2024-03-02 06:15:00,674.26,67.43,40,0.15,18.7
192,1846,301,2024-03-17 16:23:00,234.02,0.0,50,0.18,13.2
193,1709,212,2024-01-03 13:27:00,188.22,9.41,40,0.15,9.33
194,1583,72,2024-02-04 02:55:00,524.33,0.0,30,0.15,16.92
195,1164,58,2024-02-14 21:15:00,483.41,0.0,20,0.18,29.1
196,246,220,2024-02-20 23:20:00,434.5,43.45,20,0.15,15.04
197,1685,371,2024-02-19 18:23:00,173.29,17.33,50,0.2,20.26
198,1782,275,2024-03-06 23:29:00,766.98,0.0,50,0.18,30.01
199,395,249,2024-02-04 12:24:00,218.56,21.86,40,0.2,13.76
200,1511,16,2024-03-24 11:51:00,408.8,0.0,20,0.15,26.08
201,476,75,2024-01-10 14:34:00,213.12,0.0,30,0.15,16.39
202,1541,106,2024-01-07 04:41:00,411.5,41.15,50,0.2,17.66
203,977,136,2024-03-22 10:08:00,148.25,7.41,40,0.15,19.93
204,1208,417,2024-01-20 20:13:00,368.78,0.0,30,0.18,22.81
205,1044,74,2024-01-27 07:16:00,230.27,23.03,20,0.18,10.81
206,1961,254,2024-01-03 23:06:00,30.51,0.0,50,0.2,10.55
207,558,18,2024-01-27 04:33:00,378.51,0.0,30,0.18,22.54
208,1018,419,2024-01-07 05:45:00,243.61,36.54,20,0.15,13.71
209,1548,43,2024-01-16 07:48:00,345.84,17.29,50,0.18,21.14
210,1606,50,2024-03-03 15:56:00,655.99,0.0,30,0.2,22.66
211,1553,3,2024-01-06 19:26:00,547.29,0.0,30,0.2,19.06
212,883,232,2024-03-11 00:55:00,1231.51,0.0,40,0.15,34.95
213,147,219,2024-02-18 04:24:00,996.11,49.81,20,0.2,30.34
214,666,59,2024-01-22 03:52:00,354.04,17.7,40,0.18,21.92
215,1328,284,2024-01-03 09:36:00,266.33,26.63,40,0.15,19.19
216,620,302,2024-02-28 19:18:00,279.92,27.99,50,0.18,17.11
217,1772,64,2024-01-09 08:31:00,217.91,0.0,40,0.15,20.57
218,820,70,2024-02-29 11:55:00,682.78,34.14,40,0.15,31.6
219,864,303,2024-01-14 21:46:00,460.35,0.0,30,0.15,15.44
220,582,142,2024-01-29 09:27:00,296.56,0.0,20,0.15,20.5
221,1023,391,2024-01-20 23:37:00,309.97,31.0,40,0.18,21.89
222,695,202,2024-01-30 19:30:00,258.49,12.92,30,0.15,16.75
223,1786,207,2024-01-02 03:40:00,612.69,91.9,30,0.15,18.11
224,1252,415,2024-01-19 20:31:00,296.12,14.81,30,0.15,17.51
225,1126,221,2024-01-18 02:13:00,435.33,21.77,40,0.18,26.8
226,1611,362,2024-03-06 16:42:00,307.21,0.0,20,0.2,13.56
227,1441,246,2024-02-15 07:46:00,355.71,0.0,50,0.2,17.58
228,1982,81,2024-02-24 16:24:00,159.07,7.95,50,0.2,19.32
229,1240,251,2024-03-16 17:00:00,186.63,0.0,30,0.15,21.86
230,407,51,2024-02-08 00:18:00,144.05,0.0,20,0.2,21.59
231,399,285,2024-02-01 18:57:00,518.95,0.0,20,0.15,27.05
232,1947,369,2024-02-29 08:56:00,267.49,0.0,30,0.15,19.27
233,715,492,2024-01-22 07:42:00,60.2,0.0,40,0.15,11.45
234,704,399,2024-03-02 08:58:00,369.58,18.48,50,0.18,19.7
235,761,384,2024-03-27 05:48:00,1274.49,191.17,40,0.18,30.61
236,499,346,2024-02-23 15:43:00,405.6,60.84,40,0.2,18.37
237,1778,204,2024-03-24 21:33:00,168.01,16.8,30,0.2,19.24
238,1489,25,2024-03-30 08:39:00,173.61,26.04,20,0.2,18.3
239,1715,445,2024-03-18 22:25:00,463.8,0.0,40,0.18,14.4
240,1973,41,2024-03-09 00:05:00,540.48,0.0,20,0.18,24.02
241,974,69,2024-03-30 04:28:00,626.12,0.0,30,0.18,17.63
242,1755,4,2024-02-12 22:04:00,131.25,6.56,20,0.18,13.07
243,82,492,2024-03-05 03:00:00,339.04,33.9,30,0.18,26.64
244,604,240,2024-01-10 01:01:00,86.04,8.6,50,0.2,12.86
245,1971,361,2024-03-22 16:11:00,92.76,9.28,50,0.2,20.25
246,1711,441,2024-01-31 13:21:00,337.4,16.87,20,0.15,11.99
247,1775,31,2024-01-14 06:12:00,632.83,0.0,50,0.2,28.45
248,772,387,2024-01-21 01:55:00,251.41,0.0,30,0.18,16.88
249,903,117,2024-03-18 00:24:00,242.27,0.0,20,0.2,18.05
250,365,195,2024-02-07 00:43:00,140.77,0.0,30,0.15,22.71
251,163,90,2024-03-29 01:52:00,436.58,0.0,20,0.18,18.31
252,1072,178,2024-02-22 19:17:00,160.09,0.0,50,0.15,21.13
253,511,145,2024-03-15 02:46:00,564.59,0.0,40,0.2,30.03
254,1353,444,2024-02-06 01:02:00,162.18,8.11,30,0.2,12.71
255,1864,202,2024-01-11 22:19:00,287.89,28.79,40,0.18,11.47
256,116,322,2024-03-16 19:49:00,485.39,0.0,30,0.18,26.5
257,941,344,2024-02-20 16:52:00,592.34,59.23,30,0.15,30.85
258,1873,203,2024-02-21 00:27:00,152.14,7.61,50,0.18,15.21
259,337,24,2024-01-10 12:19:00,109.91,0.0,40,0.2,20.32
260,881,355,2024-01-02 22:44:00,656.69,0.0,20,0.15,21.45
261,737,471,2024-02-03 23:04:00,228.24,0.0,50,0.18,20.92
262,1888,416,2024-02-07 21:56:00,360.72,0.0,20,0.15,22.77
263,840,471,2024-02-04 17:13:00,276.34,0.0,20,0.15,18.44
264,147,482,2024-02-14 16:46:00,118.19,0.0,20,0.15,12.15
265,1599,105,2024-01-27 15:03:00,261.86,0.0,20,0.18,14.0
266,1830,275,2024-01-09 04:15:00,472.49,0.0,20,0.2,25.23
267,1347,322,2024-03-25 20:38:00,38.71,1.94,50,0.15,14.34
268,443,60,2024-03-29 12:51:00,152.48,0.0,50,0.2,21.0
269,837,371,2024-03-16 16:25:00,242.86,0.0,40,0.15,22.16
270,1037,450,2024-02-13 18:12:00,482.17,0.0,30,0.15,17.28
271,943,15,2024-02-03 02:46:00,657.15,0.0,30,0.15,21.36
272,1518,85,2024-02-08 13:57:00,171.3,0.0,40,0.15,22.59
273,1725,419,2024-02-14 14:36:00,831.69,41.58,20,0.2,27.28
274,287,197,2024-02-01 20:34:00,2015.89,100.79,20,0.15,53.53
275,720,235,2024-03-23 02:22:00,496.39,0.0,40,0.18,21.27
276,1138,411,2024-01-22 22:26:00,440.02,0.0,50,0.15,22.26
277,480,344,2024-02-09 14:09:00,105.41,0.0,50,0.18,17.24
278,22,263,2024-01-01 10:07:00,190.36,19.04,30,0.2,14.27
279,1373,6,2024-03-08 11:25:00,148.4,0.0,40,0.18,12.94
280,1750,494,2024-03-25 18:42:00,130.64,6.53,20,0.15,20.29
281,683,381,2024-01-26 23:06:00,523.29,0.0,30,0.2,24.73
282,1859,289,2024-02-25 07:05:00,355.15,17.76,40,0.18,24.91
283,1590,58,2024-02-13 12:12:00,175.49,17.55,20,0.2,21.54
284,906,433,2024-03-20 01:52:00,429.84,0.0,40,0.15,16.02
285,1834,145,2024-03-07 03:24:00,619.76,0.0,50,0.18,29.4
286,320,366,2024-02-06 21:12:00,657.74,0.0,40,0.18,31.66
287,126,42,2024-01-26 17:05:00,892.0,0.0,40,0.15,29.42
288,277,350,2024-03-20 07:55:00,454.55,0.0,50,0.18,21.67
289,2000,200,2024-03-24 13:00:00,119.53,0.0,40,0.18,13.02
290,1228,424,2024-03-20 05:38:00,637.38,0.0,40,0.18,20.01
291,194,174,2024-02-14 02:12:00,207.14,0.0,30,0.15,17.15
292,1705,455,2024-01-08 02:23:00,451.58,45.16,30,0.18,20.0
293,1688,454,2024-03-20 18:49:00,1414.51,141.45,40,0.15,45.63
294,1571,452,2024-01-16 22:23:00,1047.41,157.11,30,0.18,33.23
295,696,385,2024-03-01 10:51:00,884.37,44.22,20,0.15,37.04
296,1310,335,2024-03-07 01:55:00,239.6,0.0,40,0.18,20.84
297,57,95,2024-02-13 15:40:00,602.51,60.25,30,0.18,20.54
298,1758,217,2024-03-10 05:08:00,442.79,22.14,40,0.18,19.89
299,1327,111,2024-02-16 00:47:00,1019.66,50.98,40,0.2,34.59
300,1187,353,2024-03-18 11:01:00,258.79,0.0,20,0.15,12.2
301,19,180,2024-03-19 11:32:00,323.61,16.18,30,0.2,19.1
302,1394,163,2024-03-14 12:09:00,226.12,33.92,30,0.18,22.55
303,264,119,2024-02-19 05:20:00,958.87,95.89,40,0.15,26.8
304,794,325,2024-01-24 14:13:00,378.3,0.0,20,0.2,13.83
305,113,389,2024-02-22 02:48:00,406.52,0.0,20,0.18,20.58
306,1512,228,2024-01-26 10:55:00,337.49,0.0,20,0.18,25.11
307,1351,145,2024-03-10 04:34:00,481.31,24.07,40,0.18,25.17
308,542,437,2024-02-21 11:58:00,1325.66,0.0,20,0.2,40.13
309,647,308,2024-02-14 13:37:00,167.53,8.38,30,0.15,10.97
310,579,142,2024-02-11 07:49:00,461.26,0.0,20,0.18,25.37
311,1089,122,2024-03-25 20:47:00,65.42,0.0,50,0.15,16.42
312,1316,285,2024-03-12 12:27:00,620.52,0.0,20,0.18,31.78
313,25,392,2024-02-11 23:41:00,397.78,0.0,30,0.15,14.81
314,1573,226,2024-01-13 22:58:00,305.66,0.0,50,0.18,16.07
315,1,360,2024-03-25 20:51:00,980.36,49.02,30,0.2,31.86
316,911,257,2024-01-26 02:13:00,1399.36,139.94,50,0.18,42.59
317,1573,285,2024-02-27 18:23:00,560.22,0.0,30,0.2,23.25
318,141,420,2024-03-27 23:55:00,537.0,0.0,30,0.18,21.58
319,1768,435,2024-01-15 07:40:00,494.52,0.0,20,0.15,20.43
320,648,165,2024-01-26 17:47:00,116.05,5.8,20,0.18,8.76
321,1925,221,2024-02-18 02:29:00,33.68,3.37,30,0.18,11.81
322,188,69,2024-01-21 14:35:00,1016.4,50.82,50,0.15,29.1
323,1152,309,2024-02-16 16:01:00,375.2,0.0,30,0.18,16.87
324,201,224,2024-01-01 14:20:00,398.07,0.0,20,0.15,13.01
325,1151,124,2024-03-21 05:32:00,421.73,0.0,50,0.2,13.98
326,257,436,2024-01-20 04:18:00,733.41,0.0,20,0.18,23.94
327,1700,344,2024-01-20 09:16:00,114.49,0.0,40,0.15,10.16
328,547,339,2024-03-30 19:36:00,172.51,25.88,50,0.15,16.82
329,194,12,2024-02-23 14:57:00,1012.69,101.27,50,0.2,32.95
330,703,52,2024-03-27 16:18:00,351.57,0.0,30,0.2,24.84
331,1128,129,2024-02-26 23:36:00,371.33,0.0,20,0.18,13.35
332,1559,135,2024-03-01 21:07:00,347.8,52.17,50,0.15,22.27
333,1289,145,2024-01-16 21:18:00,1004.43,0.0,20,0.18,38.73
334,802,127,2024-02-23 10:40:00,242.47,12.12,30,0.18,19.13
335,942,226,2024-01-27 18:34:00,295.09,0.0,30,0.2,23.65
336,1998,427,2024-01-19 14:36:00,819.03,0.0,50,0.15,29.99
337,1408,71,2024-01-07 11:45:00,177.84,0.0,50,0.2,20.22
338,1284,273,2024-02-12 17:18:00,235.09,0.0,30,0.15,10.71
339,414,187,2024-03-27 00:18:00,237.96,11.9,50,0.18,12.25
340,1382,3,2024-03-26 17:28:00,167.51,0.0,40,0.15,9.7
341,1099,285,2024-03-05 14:22:00,817.39,0.0,40,0.2,35.02
342,1379,22,2024-01-16 16:24:00,112.3,0.0,40,0.2,15.78
343,1608,166,2024-03-05 06:02:00,1150.06,57.5,40,0.15,33.13
344,1795,310,2024-01-09 01:18:00,639.4,0.0,30,0.15,25.77
345,910,363,2024-02-21 07:01:00,718.18,0.0,40,0.15,19.5
346,188,477,2024-01-13 19:25:00,617.22,0.0,50,0.15,27.74
347,1997,498,2024-03-12 07:22:00,337.5,0.0,30,0.18,15.69
348,1709,434,2024-01-31 10:13:00,282.53,0.0,30,0.18,14.35
349,1314,246,2024-01-03 14:10:00,445.12,44.51,20,0.18,17.56
350,45,234,2024-01-09 02:44:00,389.49,38.95,20,0.18,17.44
351,1597,325,2024-02-09 21:50:00,115.98,0.0,30,0.2,17.28
352,83,158,2024-03-13 12:26:00,345.04,34.5,40,0.15,21.24
353,1147,151,2024-01-25 00:03:00,514.25,0.0,40,0.15,24.21
354,358,213,2024-01-07 23:21:00,544.47,54.45,30,0.18,20.44
355,1552,376,2024-02-07 03:05:00,545.46,27.27,50,0.2,27.15
356,1090,218,2024-02-21 04:43:00,191.5,19.15,40,0.2,23.57
357,936,246,2024-02-12 14:00:00,1155.83,0.0,40,0.2,37.54
358,1681,303,2024-03-12 15:04:00,331.28,49.69,40,0.15,19.64
359,375,405,2024-01-23 15:44:00,258.81,25.88,40,0.15,12.79
360,162,276,2024-02-23 02:15:00,1178.78,58.94,40,0.18,29.76
361,1770,151,2024-01-03 14:06:00,414.96,0.0,20,0.2,16.68
362,1404,196,2024-03-28 19:20:00,279.57,13.98,30,0.2,17.89
363,1680,405,2024-03-08 12:52:00,136.67,6.83,20,0.18,12.02
364,1382,21,2024-03-09 10:43:00,80.49,0.0,40,0.15,21.38
365,1212,257,2024-02-04 23:53:00,337.71,0.0,40,0.15,21.01
366,322,399,2024-01-02 06:43:00,293.61,29.36,50,0.18,15.93
367,450,17,2024-02-08 03:29:00,128.81,19.32,50,0.2,18.63
368,1498,51,2024-02-10 20:56:00,214.65,10.73,30,0.18,12.6
369,1037,447,2024-02-15 11:00:00,943.96,0.0,20,0.2,37.53
